Date,Open,High,Low,Close,Adj Close,Volume,Stock,putWidth,putPremium,putIV,dt
2020-09-10,106.29000091552734,108.37000274658203,104.16999816894531,105.45999908447266,105.45999908447266,2005400,MTCH,5.0,0.0,0.015634843750000002,
2020-09-11,106.86000061035156,106.86000061035156,101.6500015258789,103.6500015258789,103.6500015258789,2302400,MTCH,5.0,0.0,0.015634843750000002,
2020-09-14,105.73999786376953,109.2699966430664,105.73999786376953,108.26000213623047,108.26000213623047,3473700,MTCH,5.0,0.0,0.015634843750000002,
2020-09-15,109.94999694824219,111.66000366210938,108.70999908447266,110.9800033569336,110.9800033569336,2459900,MTCH,5.0,0.0,0.015634843750000002,
2020-09-16,110.75,111.3949966430664,107.79000091552734,108.30000305175781,108.30000305175781,4088500,MTCH,5.0,0.0,0.015634843750000002,
2020-09-17,107.94999694824219,108.45899963378906,105.6500015258789,107.55999755859375,107.55999755859375,2669000,MTCH,5.0,0.0,0.015634843750000002,
2020-09-18,107.73999786376953,109.7699966430664,105.36000061035156,108.41000366210938,108.41000366210938,6138400,MTCH,5.0,0.0,0.015634843750000002,
2020-09-21,106.08000183105469,107.25,104.20500183105469,106.8499984741211,106.8499984741211,2832300,MTCH,5.0,0.0,0.015634843750000002,
2020-09-22,108.37999725341797,108.79000091552734,105.45999908447266,106.51000213623047,106.51000213623047,2665700,MTCH,5.0,0.0,0.015634843750000002,
2020-09-23,106.94000244140625,107.25499725341797,102.41000366210938,102.88999938964844,102.88999938964844,2350200,MTCH,5.0,0.0,0.015634843750000002,
2020-09-24,101.0199966430664,105.12999725341797,100.61000061035156,103.43000030517578,103.43000030517578,1661600,MTCH,5.0,0.0,0.015634843750000002,
2020-09-25,103.58000183105469,107.52200317382812,102.7699966430664,105.75,105.75,1851700,MTCH,5.0,0.0,0.015634843750000002,
2020-09-28,107.1500015258789,109.83999633789062,106.7750015258789,108.58999633789062,108.58999633789062,2435300,MTCH,5.0,0.0,0.015634843750000002,
2020-09-29,108.22000122070312,109.37999725341797,106.62999725341797,109.12000274658203,109.12000274658203,3348000,MTCH,5.0,0.0,0.015634843750000002,
2020-09-30,108.43000030517578,111.79000091552734,108.43000030517578,110.6500015258789,110.6500015258789,2413600,MTCH,5.0,0.0,0.015634843750000002,
2020-10-01,112.2300033569336,116.58000183105469,111.12999725341797,116.20999908447266,116.20999908447266,2833600,MTCH,5.0,0.0,0.015634843750000002,
2020-10-02,113.12999725341797,115.9000015258789,111.62999725341797,111.94000244140625,111.94000244140625,1664000,MTCH,5.0,0.0,0.015634843750000002,
2020-10-05,112.98999786376953,115.1500015258789,111.68000030517578,114.05000305175781,114.05000305175781,1721600,MTCH,5.0,0.0,0.015634843750000002,
2020-10-06,113.94000244140625,115.81999969482422,112.79000091552734,114.20999908447266,114.20999908447266,1685900,MTCH,5.0,0.0,0.015634843750000002,
2020-10-07,114.58999633789062,115.48999786376953,112.125,114.5,114.5,2253900,MTCH,5.0,0.0,0.015634843750000002,
